id,timestamp,film_title_en,film_title_romanji,film_title_original,year_released,director,production_studio,production_studio_gps,prefecture,film_location,latitude,longitude,researcher_source,release_date,country_of_production,topographical_targets,animated,budget,,,
1091,,,On'na send?-uta,??????,1956,,,,?????,??,32.8157427,130.8891318,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1092,,,On'na send?-uta,??????,1956,,,,?????,??????,35.9471227,140.5553722,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1093,,,Otsukisankonbanwa,???????,1958,,,,?????,????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1094,,,Otsukisankonbanwa,???????,1958,,,,?????,,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1095,,,Otsukisankonbanwa,???????,1958,,,,?????,?????????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1096,,,Otsukisankonbanwa,???????,1958,,,,?????,??,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1097,,,Otsukisankonbanwa,???????,1958,,,,?????,????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1098,,,Otsukisankonbanwa,???????,1958,,,,?????,,40.6563169,140.8936755,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1099,,,Otsukisama ni wa waruikedo,?????????,1954,,,,?????,?????????????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1100,,,Otsukisama ni wa waruikedo,?????????,1954,,,,?????,?????,35.5554531,139.7543989,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1101,,,Otsukisama ni wa waruikedo,?????????,1954,,,,?????,????????????,35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1102,,,Otsukisama ni wa waruikedo,?????????,1954,,,,?????,??????????,35.6938401,139.7035494,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1103,,,Otsukisama ni wa waruikedo,?????????,1954,,,,?????,,35.6938401,139.7035494,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1104,,,Otsukisama ni wa waruikedo,?????????,1954,,,,?????,?????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1105,,,Otsukisama ni wa waruikedo,?????????,1954,,,,?????,???????????????????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1106,,,Owaraisan'ningumi,??????,1958,,,,?????,?????????),35.6465721,139.6532473,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1107,,,Owaraisan'ningumi,??????,1958,,,,?????,,35.6995657,139.6364379,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1108,,,Oj?san no sanpomichi,????????,1960,,,,?????,????????),35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1109,,,Oj?san no sanpomichi,????????,1960,,,,?????,??????,35.5612568,139.7160511,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1110,,,Ot?chan wa daigakusei,?????????,1961,,,,?????,???????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1111,,,Kakute yume ari,??????,1954,,,,?????,????),36.9574372,140.4095729,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1112,,,Kakute yume ari,??????,1954,,,,?????,????,36.8714026,140.424783,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1113,,,Kakute yume ari,??????,1954,,,,?????,,36.8714026,140.424783,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1114,,,Kakute yume ari,??????,1954,,,,?????,?????????(,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1115,,,Kakute yume ari,??????,1954,,,,?????,????),35.6706505,139.7718614,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1116,,,Kakute yume ari,??????,1954,,,,?????,??????,35.6734645,139.7648655,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1117,,,Kakute yume ari,??????,1954,,,,?????,,35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1118,,,Kakute yume ari,??????,1954,,,,?????,??????,35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1119,,,Kakute yume ari,??????,1954,,,,?????,???????????,35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1120,,,Kakute yume ari,??????,1954,,,,?????,??????????????(,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1121,,,Kakute yume ari,??????,1954,,,,?????,,37.6374738,140.9712796,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1122,,,Kakute yume ari,??????,1954,,,,?????,????,36.3665027,140.4709965,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1123,,,Kakute yume ari,??????,1954,,,,?????,,36.3665027,140.4709965,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1124,,,Kakute yume ari,??????,1954,,,,?????,??,36.3665027,140.4709965,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1125,,,Kakute yume ari,??????,1954,,,,?????,??????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1126,,,Kakute yume ari,??????,1954,,,,?????,?????,36.3134425,140.5749744,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1127,,,Kakute yume ari,??????,1954,,,,?????,,36.3134425,140.5749744,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1128,,,Kakute yume ari,??????,1954,,,,?????,?????,36.3134425,140.5749744,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1129,,,Kakute yume ari,??????,1954,,,,?????,?????,36.3134425,140.5749744,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1130,,,Kakute yume ari,??????,1954,,,,?????,???????????,36.7680962,140.3552657,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1131,,,Kakute yume ari,??????,1954,,,,?????,??????,36.7199026,139.6982161,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1132,,,Kakute yume ari,??????,1954,,,,?????,,36.7680962,140.3552657,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1133,,,Kakute yume ari,??????,1954,,,,?????,?????????,36.7680962,140.3552657,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1134,,,Kaburitsuki jinsei,???????,1968,,,,?????,?????,34.6937378,135.5021651,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1135,,,Kaburitsuki jinsei,???????,1968,,,,?????,,34.6937378,135.5021651,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1136,,,Kaburitsuki jinsei,???????,1968,,,,?????,??OS??,34.6937378,135.5021651,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1137,,,Kaburitsuki jinsei,???????,1968,,,,?????,??OS?????????,40.759976,-73.9799772,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1138,,,Kaburitsuki jinsei,???????,1968,,,,?????,????????,34.6937378,135.5021651,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1139,,,Kaburitsuki jinsei,???????,1968,,,,?????,???????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1140,,,Kaburitsuki jinsei,???????,1968,,,,?????,,35.6452443,136.0554408,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1141,,,Garasu no naka no sh?jo,????????,1960,,,,?????,??????????,35.6938401,139.7035494,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1142,,,Garasu no naka no sh?jo,????????,1960,,,,?????,,35.6938401,139.7035494,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1143,,,Garasu no naka no sh?jo,????????,1960,,,,?????,??????????),35.6861525,139.7302183,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1144,,,Garasu no naka no sh?jo,????????,1960,,,,?????,???????,35.7080677,139.752167,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1145,,,Garasu no naka no sh?jo,????????,1960,,,,?????,,35.7080677,139.752167,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1146,,,Garasu no naka no sh?jo,????????,1960,,,,?????,????????????,35.7080677,139.752167,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1147,,,Garasu no naka no sh?jo,????????,1960,,,,?????,?????,35.4973137,138.7550838,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1148,,,Karatachinohana,??????,1954,,,,?????,??????,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1149,,,Karatachinohana,??????,1954,,,,?????,?????,33.1630889,130.4057531,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1150,,,Karatachinohana,??????,1954,,,,?????,,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1151,,,Karatachinohana,??????,1954,,,,?????,????,35.1423111,136.8502764,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1152,,,Karatachinohana,??????,1954,,,,?????,????,33.1584,130.39704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1153,,,Karatachinohana,??????,1954,,,,?????,???,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1154,,,Karatachinohana,??????,1954,,,,?????,?????,33.15817,130.394438,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1155,,,Karatachinohana,??????,1954,,,,?????,????,33.1619262,130.4134555,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1156,,,Karatachinohana,??????,1954,,,,?????,???,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1157,,,Karatachinohana,??????,1954,,,,?????,??,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1158,,,Karatachinohana,??????,1954,,,,?????,????,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1159,,,Karatachinohana,??????,1954,,,,?????,????,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1160,,,Karatachinohana,??????,1954,,,,?????,??,33.158359,130.39586,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1161,,,Karatachinohana,??????,1954,,,,?????,???,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1162,,,Karatachinohana,??????,1954,,,,?????,????,33.1639673,130.4136416,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1163,,,Karatachinohana,??????,1954,,,,?????,???,33.1604334,130.408987,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1164,,,Karatachinohana,??????,1954,,,,?????,??,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1165,,,Karatachinohana,??????,1954,,,,?????,???,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1166,,,Karatachinohana,??????,1954,,,,?????,???,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1167,,,Karatachinohana,??????,1954,,,,?????,?????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1168,,,Karatachinohana,??????,1954,,,,?????,?????,33.1587533,130.3951179,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1169,,,Karatachinohana,??????,1954,,,,?????,?????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1170,,,Karatachinohana,??????,1954,,,,?????,?????,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1171,,,Karatachinohana,??????,1954,,,,?????,????,33.1618238,130.3979401,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1172,,,Karatachinohana,??????,1954,,,,?????,??? ??,34.9765857,138.946704,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1173,,,Karatachinohana,??????,1954,,,,?????,??????),32.7881027,130.370286,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1174,,,Karatachinohana,??????,1954,,,,?????,,32.8351972,130.1874996,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1175,,,Kawa? on'na,?????,1959,,,,?????,,35.0962764,139.0717047,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1176,,,Git? o motta wataridori,??????????,1959,,,,?????,????,41.7687933,140.7288103,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1177,,,Git? o motta wataridori,??????????,1959,,,,?????,,41.7687933,140.7288103,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1178,,,Git? o motta wataridori,??????????,1959,,,,?????,??????,41.7687933,140.7288103,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1179,,,Git? kakaeta hitori tabi,??????????,1964,,,,?????,,35.645432,139.354764,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1180,,,Git? kakaeta hitori tabi,??????????,1964,,,,?????,,36.1,138.1666667,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1181,,,Git? kakaeta hitori tabi,??????????,1964,,,,?????,?????????,36.0391417,138.1141816,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1182,,,Git? kakaeta hitori tabi,??????????,1964,,,,?????,,36.0391417,138.1141816,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1183,,,Git? kakaeta hitori tabi,??????????,1964,,,,?????,???????,35.154361,138.7062926,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1184,,,Gyangu no sh?z?,???????,1965,,,,?????,??????,35.6580681,139.7515992,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1185,,,Gyangu no sh?z?,???????,1965,,,,?????,,35.6580681,139.7515992,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1186,,,Gyangu no sh?z?,???????,1965,,,,?????,???,35.6580681,139.7515992,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1187,,,Ky?pora no aru machi,?????????,1962,,,,????????????????????????,,35.6580681,139.7515992,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1188,,,Ky?pora no aru machi,?????????,1962,,,,????????????????????????,????????????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1189,,,Kutabare gurentai,???????,1960,,,,?????,,34.5389926,135.186889,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1190,,,Kutabare gurentai,???????,1960,,,,?????,????,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1191,,,Kutabare gurentai,???????,1960,,,,?????,,34.5389926,135.186889,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1192,,,Kutabare gurentai,???????,1960,,,,?????,,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1193,,,Kutabare gurentai,???????,1960,,,,?????,???,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1194,,,Kutabare gurentai,???????,1960,,,,?????,???,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1195,,,Kutabare gurentai,???????,1960,,,,?????,???,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1196,,,Kutabare gurentai,???????,1960,,,,?????,????,31.51296,130.33516,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1197,,,Kutabare gurentai,???????,1960,,,,?????,???,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1198,,,Kutabare gurentai,???????,1960,,,,?????,??????,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1199,,,Kutabare gurentai,???????,1960,,,,?????,????,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1200,,,Kutabare gurentai,???????,1960,,,,?????,???,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1201,,,Kutabare gurentai,???????,1960,,,,?????,???,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1202,,,Kutabare gurentai,???????,1960,,,,?????,???,34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1203,,,Kutabare gurentai,???????,1960,,,,?????,?????),34.3424262,134.8956197,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1204,,,Kutabare gurentai,???????,1960,,,,?????,??????,34.2944796,134.7798555,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1205,,,Kutabare gurentai,???????,1960,,,,?????,,34.2944796,134.7798555,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1206,,,Kutabare gurentai,???????,1960,,,,?????,?????,34.2944796,134.7798555,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1207,,,Ke mono no nemuri,??????,1960,,,,?????,?????????????),35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1208,,,Ke mono no nemuri,??????,1960,,,,?????,???????????,35.6938401,139.7035494,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1209,,,Ke mono no nemuri,??????,1960,,,,??????,,35.4437078,139.6380256,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1210,,,Ken kaere j?,???????,1966,,,,?????,?????),ZERO_RESULTS,ZERO_RESULTS,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1211,,,Ken kaere j?,???????,1966,,,,?????,???????,37.4947611,139.9298096,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1212,,,Ken kaere j?,???????,1966,,,,?????,??????,37.651355,139.8746088,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1213,,,Ken kaere j?,???????,1966,,,,?????,?????,36.4019115,138.2488888,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1214,,,Ken kaere j?,???????,1966,,,,?????,,37.651355,139.8746088,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1215,,,Ken kaere j?,???????,1966,,,,?????,???,37.651355,139.8746088,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1216,,,Ken kaere j?,???????,1966,,,,?????,???????,37.651355,139.8746088,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1217,,,Kokoro,???,1955,,,,?????,??????,35.0429906,139.8401276,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1218,,,Kono waka-sa aru kagiri,????????,1961,,,,?????,??????????????,35.5612568,139.7160511,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1219,,,Kono waka-sa aru kagiri,????????,1961,,,,?????,???????,35.7346813,140.8266406,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1220,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,?????????),35.7107215,139.8014968,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1221,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,????????????,35.6580681,139.7515992,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1222,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1223,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1224,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,?????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1225,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,???????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1226,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1227,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,???????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1228,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,?????????,35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1229,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,??????????,35.6728535,139.8174097,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1230,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,???????,35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1231,,,Kono niji no kieru toki ni mo,??????????,1966,,,,?????,?????,35.6706505,139.7718614,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1232,,,Koruto ga senaka o neratteru,???????????,1960,,,,?????,??????),35.5612568,139.7160511,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1233,,,Koruto ga senaka o neratteru,???????????,1960,,,,?????,????,35.6706505,139.7718614,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1234,,,Koruto ga senaka o neratteru,???????????,1960,,,,??????,??????,35.4437078,139.6380256,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1235,,,Korega saigoda,??????,1958,,,,?????,??????),35.712607,139.7799956,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1236,,,Korega saigoda,??????,1958,,,,?????,???????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1237,,,Kon'nichiwaakachan,?????????,1964,,,,??????,,35.2645639,139.1521538,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1238,,,Kon'nichiwaakachan,?????????,1964,,,,??????,?????,35.4437078,139.6380256,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1239,,,Kon'nichiwaakachan,?????????,1964,,,,??????,,35.5298198,139.7024039,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1240,,,Kon'nichiwaakachan,?????????,1964,,,,??????,,ZERO_RESULTS,ZERO_RESULTS,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1241,,,Kon'nichiwaakachan,?????????,1964,,,,??????,?????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1242,,,Kon'nichiwa 20-sai,????????,1964,,,,?????,??????????????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1243,,,Kon'nichiwa 20-sai,????????,1964,,,,?????,??????,35.6997435,139.5731906,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1244,,,Kon'nichiwa 20-sai,????????,1964,,,,?????,,ZERO_RESULTS,ZERO_RESULTS,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1245,,,Kon'nichiwa 20-sai,????????,1964,,,,?????,????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1246,,,Kon'nichiwa 20-sai,????????,1964,,,,?????,,ZERO_RESULTS,ZERO_RESULTS,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1247,,,Kon'nichiwa 20-sai,????????,1964,,,,?????,????,ZERO_RESULTS,ZERO_RESULTS,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1248,,,Kon'nichiwa 20-sai,????????,1964,,,,?????,?????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1249,,,Za supaid?su no barit? chin d?ch?,????????? ??????,1968,,,,?????,??????,35.5612568,139.7160511,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1250,,,Za supaid?su no barit? chin d?ch?,????????? ??????,1968,,,,????,??,35.86166,104.195397,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1251,,,Za supaid?su no barit? chin d?ch?,????????? ??????,1968,,,,????,???????,-0.789275,113.921327,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1252,,,Za supaid?su no barit? chin d?ch?,????????? ??????,1968,,,,????,,-0.789275,113.921327,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1253,,,Za supaid?su no barit? chin d?ch?,????????? ??????,1968,,,,????,????????,-8.1149145,115.0916254,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1254,,,Za supaid?su no barit? chin d?ch?,????????? ??????,1968,,,,????,????????,,,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1255,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,?????,??????),35.5612568,139.7160511,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1256,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,?????,?????,35.6706505,139.7718614,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1257,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,?????,,35.6706505,139.7718614,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1258,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,?????,???,35.6706505,139.7718614,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1259,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,?????,?????????,35.6465721,139.6532473,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1260,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,?????,??????????(,35.7289201,139.2941195,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1261,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,??????,??????),35.4437078,139.6380256,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1262,,,Za supaid?su no g?g? muk?mizu sakusen (za supaid?su no g?g? muk?mizu sakusen),?????????????????????????????????????????,1967,,,,??????,?????,35.5298198,139.7024039,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1263,,,Za supaid?su no dai shingeki,????????????,1968,,,,??????,??????????),31.2527702,130.6330314,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1264,,,Za supaid?su no dai shingeki,????????????,1968,,,,??????,,31.7408988,130.7629974,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1265,,,Za supaid?su no dai shingeki,????????????,1968,,,,??????,,31.5965535,130.5571158,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1266,,,Za supaid?su no ?s?d?,????????????,1968,,,,?????,?????),35.6940027,139.7535951,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1267,,,Za supaid?su no ?s?d?,????????????,1968,,,,?????,???????,35.683513,139.5595842,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1268,,,Sasurai,????,1962,,,,?????,,35.617657,139.778377,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
1269,,,Sasurai,????,1962,,,,?????,,34.7108344,137.7261258,nikkatsu website: http://www.nikkatsu.com/index.html,,,,,,,,
